SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-31.5409,-51.3308,239.905,20.1727,-58.5374,223.93,-37.7773,-48.4222,211.61,14.8713,-48.1018,198.546,-42.3006,-41.9814,187.459,7.67144,-37.4589,175.251,-2.89378,7.40219,230.023,-11.9271,12.746,212.685
-37.7773,-48.4222,211.61,14.8713,-48.1018,198.546,-42.3006,-41.9814,187.459,7.67144,-37.4589,175.251,-46.013,-31.2043,160.228,1.36634,-23.0911,153.734,-13.3614,14.8539,208.183,-21.8317,20.877,186.04
-42.3006,-41.9814,187.459,7.67144,-37.4589,175.251,-46.013,-31.2043,160.228,1.36634,-23.0911,153.734,-47.4635,-22.6462,130.644,-6.07784,-15.1469,128.005,-23.5606,23.1249,182.064,-28.3251,29.6535,160.93
-46.013,-31.2043,160.228,1.36634,-23.0911,153.734,-47.4635,-22.6462,130.644,-6.07784,-15.1469,128.005,-51.9108,-14.3951,102.988,-10.5252,-6.89575,100.348,-29.6391,32.6131,153.43,-34.5943,39.1984,128.218
-32.5488,-57.9579,246.055,16.8003,-58.3019,241.117,-33.7796,-55.3458,222.34,15.5695,-55.6898,217.402,-33.4324,-54.4395,201.424,12.7607,-51.3719,190.888,-5.24968,-4.59697,232.631,-6.86235,-1.78562,219.35
-33.7796,-55.3458,222.34,15.5695,-55.6898,217.402,-33.4324,-54.4395,201.424,12.7607,-51.3719,190.888,-36.3603,-51.2293,182.644,5.82104,-42.8976,167.598,-7.27781,-0.791225,212.624,-12.1712,2.51831,196.546
-33.4324,-54.4395,201.424,12.7607,-51.3719,190.888,-36.3603,-51.2293,182.644,5.82104,-42.8976,167.598,-38.7085,-48.087,157.409,-0.279187,-33.4821,144.36,-14.7701,3.9036,190.954,-22.1186,7.33438,173.657
-36.3603,-51.2293,182.644,5.82104,-42.8976,167.598,-38.7085,-48.087,157.409,-0.279187,-33.4821,144.36,-39.8771,-45.2483,130.202,-5.47462,-30.1276,123.24,-24.3279,9.30494,165.966,-34.0569,11.5932,147.915
-38.7085,-48.087,157.409,-0.279187,-33.4821,144.36,-39.8771,-45.2483,130.202,-5.47462,-30.1276,123.24,-54.1876,-44.4859,98.1699,-4.50608,-16.5779,97.8383,-35.4954,12.8909,140.727,-41.5711,13.6894,121.782
-39.8771,-45.2483,130.202,-5.47462,-30.1276,123.24,-54.1876,-44.4859,98.1699,-4.50608,-16.5779,97.8383,-55.0554,-37.9412,66.9852,1.50914,-13.0615,77.0118,-42.272,15.4485,113.264,-42.9784,16.1206,93.0059
